report_date,phone_number,received_date,score_range,telco_source,qualified_date,qualified,old_qualified,reason,change_qualified_reason,lead_id,loan_amount,disbursed_date
2023-08-31,14222606,2023-07-21,[650+],mobifone,2023-08-31,1,,Giải ngân thành công,unchanged,14222606,20000000,2023-08-02
2023-08-31,14169551,2023-06-15,[650+],mobifone,2023-08-31,1,,Giải ngân thành công,unchanged,14169551,50000000,2023-08-14
2023-08-31,14173732,2023-06-16,[650+],mobifone,2023-08-31,1,,Giải ngân thành công,unchanged,14173732,50000000,2023-08-18
