lead_id,sent_date,score_range,loan_amount,disbursed_date,price
14122087,2023-05-31,[650+],60000000.0,2023-06-13 00:00:00,3300000.0
14122102,2023-05-31,[650+],30000000.0,2023-06-05 00:00:00,1650000.0
14122304,2023-05-31,[650+],20000000.0,2023-06-07 00:00:00,1100000.0
14122971,2023-06-01,[650+],50000000.0,2023-06-27 00:00:00,2750000.0
14122994,2023-06-01,[650+],20000000.0,2023-06-13 00:00:00,1100000.0
14123076,2023-06-01,[650+],20000000.0,2023-06-19 00:00:00,1100000.0
14123330,2023-06-01,[650+],50000000.0,2023-06-14 00:00:00,2750000.0
14123545,2023-06-01,[650+],20000000.0,2023-06-08 00:00:00,1100000.0
14123738,2023-06-01,[650+],40000000.0,2023-06-07 00:00:00,2200000.0
14123894,2023-06-01,[650+],20000000.0,2023-06-05 00:00:00,1100000.0
14124279,2023-06-01,[650+],20000000.0,2023-06-27 00:00:00,1100000.0
14125352,2023-06-01,[650+],10000000.0,2023-06-08 00:00:00,550000.0
14126848,2023-06-02,[650+],30000000.0,2023-06-13 00:00:00,1650000.0
14128963,2023-06-02,[650+],20000000.0,2023-06-13 00:00:00,1100000.0
14129400,2023-06-03,[650+],40000000.0,2023-06-19 00:00:00,2200000.0
14129455,2023-06-03,[650+],50000000.0,2023-06-13 00:00:00,2750000.0
14130530,2023-06-03,[650+],20000000.0,2023-06-13 00:00:00,1100000.0
14130789,2023-06-03,[631-649],30000000.0,2023-06-16 00:00:00,1650000.0
14131843,2023-06-04,[650+],50000000.0,2023-06-14 00:00:00,2750000.0
14132185,2023-06-04,[650+],20000000.0,2023-06-14 00:00:00,1100000.0
14132784,2023-06-04,[650+],40000000.0,2023-06-13 00:00:00,2200000.0
14138560,2023-06-06,[650+],30000000.0,2023-06-14 00:00:00,1650000.0
14141780,2023-06-07,[650+],30000000.0,2023-06-22 00:00:00,1650000.0
14143806,2023-06-07,[650+],20000000.0,2023-06-13 00:00:00,1100000.0
14144757,2023-06-07,[650+],10000000.0,2023-06-13 00:00:00,550000.0
14146143,2023-06-08,[650+],20000000.0,2023-06-16 00:00:00,1100000.0
14146688,2023-06-08,[650+],10000000.0,2023-06-21 00:00:00,550000.0
14144946,2023-06-08,[631-649],50000000.0,2023-06-21 00:00:00,2750000.0
14148307,2023-06-09,[650+],20000000.0,2023-06-14 00:00:00,1100000.0
14148480,2023-06-09,[650+],40000000.0,2023-06-15 00:00:00,2200000.0
14151953,2023-06-10,[631-649],12000000.0,2023-06-26 00:00:00,660000.0
14152657,2023-06-11,[650+],20000000.0,2023-06-19 00:00:00,1100000.0
14153518,2023-06-11,[650+],40000000.0,2023-06-15 00:00:00,2200000.0
14153991,2023-06-11,[650+],60000000.0,2023-06-14 00:00:00,3300000.0
14155165,2023-06-11,[650+],50000000.0,2023-06-16 00:00:00,2750000.0
14158966,2023-06-12,[650+],20000000.0,2023-06-20 00:00:00,1100000.0
14159156,2023-06-12,[650+],30000000.0,2023-06-14 00:00:00,1650000.0
14160483,2023-06-13,[650+],40000000.0,2023-06-15 00:00:00,2200000.0
14160498,2023-06-13,[650+],12000000.0,2023-06-20 00:00:00,660000.0
14161893,2023-06-13,[650+],60000000.0,2023-06-23 00:00:00,3300000.0
14162756,2023-06-13,[631-649],20000000.0,2023-06-22 00:00:00,1100000.0
