lead_id,sent_date,score_range,price
14161519,2023-06-13,[630+],168000.0
14162248,2023-06-13,[630+],168000.0
14162281,2023-06-13,[630+],168000.0
14162293,2023-06-13,[630+],168000.0
14162294,2023-06-13,[630+],168000.0
14162387,2023-06-13,[630+],168000.0
14162458,2023-06-13,[630+],168000.0
14162652,2023-06-13,[630+],168000.0
14162793,2023-06-13,[630+],168000.0
14162840,2023-06-13,[630+],168000.0
14162856,2023-06-13,[630+],168000.0
14162935,2023-06-13,[630+],168000.0
14162961,2023-06-13,[630+],168000.0
14163040,2023-06-13,[630+],168000.0
14163148,2023-06-13,[630+],168000.0
14163497,2023-06-13,[630+],168000.0
14163598,2023-06-13,[630+],168000.0
14163610,2023-06-13,[630+],168000.0
14163635,2023-06-13,[630+],168000.0
14163671,2023-06-13,[630+],168000.0
14163782,2023-06-13,[630+],168000.0
14163856,2023-06-13,[630+],168000.0
14164385,2023-06-14,[630+],168000.0
14164673,2023-06-14,[630+],168000.0
14164770,2023-06-14,[630+],168000.0
14164998,2023-06-14,[630+],168000.0
14165062,2023-06-14,[630+],168000.0
14165222,2023-06-14,[630+],168000.0
14165357,2023-06-14,[630+],168000.0
14165408,2023-06-14,[630+],168000.0
14165524,2023-06-14,[630+],168000.0
14165605,2023-06-14,[630+],168000.0
14166001,2023-06-14,[630+],168000.0
14166032,2023-06-14,[630+],168000.0
14166175,2023-06-14,[630+],168000.0
14166433,2023-06-14,[630+],168000.0
14166508,2023-06-14,[630+],168000.0
14166570,2023-06-14,[630+],168000.0
14166656,2023-06-14,[630+],168000.0
14166825,2023-06-14,[630+],168000.0
14166896,2023-06-14,[630+],168000.0
14167084,2023-06-14,[630+],168000.0
14167338,2023-06-15,[630+],168000.0
14167766,2023-06-15,[630+],168000.0
14167781,2023-06-15,[630+],168000.0
14167804,2023-06-15,[630+],168000.0
14168445,2023-06-15,[630+],168000.0
14168552,2023-06-15,[630+],168000.0
14168691,2023-06-15,[630+],168000.0
14168883,2023-06-15,[630+],168000.0
14168951,2023-06-15,[630+],168000.0
14169152,2023-06-15,[630+],168000.0
14169442,2023-06-15,[630+],168000.0
14169458,2023-06-15,[630+],168000.0
14169468,2023-06-15,[630+],168000.0
14169547,2023-06-15,[630+],168000.0
14169742,2023-06-15,[630+],168000.0
14169897,2023-06-15,[630+],168000.0
14170043,2023-06-15,[630+],168000.0
14170119,2023-06-15,[630+],168000.0
14170177,2023-06-15,[630+],168000.0
14170905,2023-06-16,[630+],168000.0
14171013,2023-06-16,[630+],168000.0
14171068,2023-06-16,[630+],168000.0
14171151,2023-06-16,[630+],168000.0
14171350,2023-06-16,[630+],168000.0
14171413,2023-06-16,[630+],168000.0
14171776,2023-06-16,[630+],168000.0
14171817,2023-06-16,[630+],168000.0
14172350,2023-06-16,[630+],168000.0
14172560,2023-06-16,[630+],168000.0
14172564,2023-06-16,[630+],168000.0
14172816,2023-06-16,[630+],168000.0
14172912,2023-06-16,[630+],168000.0
14173062,2023-06-16,[630+],168000.0
14173159,2023-06-16,[630+],168000.0
14173447,2023-06-16,[630+],168000.0
14173472,2023-06-16,[630+],168000.0
14173553,2023-06-16,[630+],168000.0
14173572,2023-06-16,[630+],168000.0
14173587,2023-06-16,[630+],168000.0
14173697,2023-06-16,[630+],168000.0
14173791,2023-06-16,[630+],168000.0
14173798,2023-06-16,[630+],168000.0
14173953,2023-06-16,[630+],168000.0
14174008,2023-06-17,[630+],168000.0
14174167,2023-06-17,[630+],168000.0
14174424,2023-06-17,[630+],168000.0
14174725,2023-06-17,[630+],168000.0
14175365,2023-06-17,[630+],168000.0
14175465,2023-06-17,[630+],168000.0
14175703,2023-06-17,[630+],168000.0
14175797,2023-06-17,[630+],168000.0
14176734,2023-06-18,[630+],168000.0
14176746,2023-06-18,[630+],168000.0
14176927,2023-06-18,[630+],168000.0
14176989,2023-06-18,[630+],168000.0
14177508,2023-06-18,[630+],168000.0
14177895,2023-06-18,[630+],168000.0
14177996,2023-06-18,[630+],168000.0
14178087,2023-06-18,[630+],168000.0
14178196,2023-06-18,[630+],168000.0
14178445,2023-06-18,[630+],168000.0
14178493,2023-06-18,[630+],168000.0
14178659,2023-06-18,[630+],168000.0
14178919,2023-06-18,[630+],168000.0
14179625,2023-06-19,[630+],168000.0
14179652,2023-06-19,[630+],168000.0
14179779,2023-06-19,[630+],168000.0
14180325,2023-06-19,[630+],168000.0
14180666,2023-06-19,[630+],168000.0
14180732,2023-06-19,[630+],168000.0
14180967,2023-06-19,[630+],168000.0
14181117,2023-06-19,[630+],168000.0
14181239,2023-06-19,[630+],168000.0
14181441,2023-06-19,[630+],168000.0
14181833,2023-06-19,[630+],168000.0
14181923,2023-06-19,[630+],168000.0
14181992,2023-06-19,[630+],168000.0
14182137,2023-06-19,[630+],168000.0
14182291,2023-06-19,[630+],168000.0
14182295,2023-06-19,[630+],168000.0
14182346,2023-06-19,[630+],168000.0
14182397,2023-06-19,[630+],168000.0
14182426,2023-06-19,[630+],168000.0
14182833,2023-06-20,[630+],168000.0
14182897,2023-06-20,[630+],168000.0
14183657,2023-06-20,[630+],168000.0
14183745,2023-06-20,[630+],168000.0
14183803,2023-06-20,[630+],168000.0
14183841,2023-06-20,[630+],168000.0
14183948,2023-06-20,[630+],168000.0
14184130,2023-06-20,[630+],168000.0
14184210,2023-06-20,[630+],168000.0
14184737,2023-06-20,[630+],168000.0
14184881,2023-06-20,[630+],168000.0
14185030,2023-06-20,[630+],168000.0
14185201,2023-06-20,[630+],168000.0
14185356,2023-06-20,[630+],168000.0
14185518,2023-06-20,[630+],168000.0
14185600,2023-06-20,[630+],168000.0
14185772,2023-06-20,[630+],168000.0
14185782,2023-06-20,[630+],168000.0
14186326,2023-06-21,[630+],168000.0
14186970,2023-06-21,[630+],168000.0
14187054,2023-06-21,[630+],168000.0
14187228,2023-06-21,[630+],168000.0
14187351,2023-06-21,[630+],168000.0
14187650,2023-06-21,[630+],168000.0
